Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Patrol,2013,Saudi,Golden,Semi Full,5.6,Gas,Automatic,442000,Riyadh,85000
Accord,2018,Saudi,White,Standard,1.5,Gas,Automatic,129000,Riyadh,68000
Yukon,2013,Saudi,White,Full,5.3,Gas,Automatic,194000,Riyadh,80000
Land Cruiser,2014,Saudi,White,Full,4.0,Gas,Automatic,187000,Riyadh,125000
Expedition,2013,Saudi,Silver,Semi Full,5.6,Gas,Automatic,336000,Riyadh,50000
Yukon,2016,Saudi,Brown,Semi Full,5.3,Gas,Automatic,112000,Riyadh,110000
Cerato,2019,Saudi,Another Color,Standard,1.6,Gas,Automatic,47000,Riyadh,46000
Accent,2019,Saudi,Grey,Standard,1.4,Gas,Automatic,48521,Riyadh,39500
Sentra,2018,Saudi,Grey,Standard,1.6,Gas,Automatic,144039,Riyadh,39500
Accent,2019,Saudi,Brown,Standard,1.4,Gas,Automatic,102113,Riyadh,39500
Accent,2019,Saudi,Brown,Standard,1.4,Gas,Automatic,82903,Riyadh,39500
Accord,2018,Saudi,White,Full,2.0,Gas,Automatic,105000,Riyadh,85000
Tahoe,2013,Saudi,Brown,Semi Full,5.3,Gas,Automatic,342000,Riyadh,53000
Yukon,2010,Saudi,Golden,Standard,5.3,Gas,Automatic,352000,Riyadh,42000
Cadenza,2020,Saudi,White,Standard,3.5,Gas,Automatic,38000,Riyadh,68000
Yukon,2011,Saudi,Silver,Standard,5.3,Gas,Automatic,401000,Riyadh,52000
Platinum,2016,Saudi,White,Semi Full,3.5,Gas,Automatic,179000,Riyadh,82000
Patrol,2010,Saudi,Black,Full,5.6,Gas,Automatic,346000,Riyadh,70000
Sonata,2018,Saudi,White,Semi Full,2.4,Gas,Automatic,108000,Riyadh,55000
LS,2008,Saudi,Another Color,Full,4.6,Gas,Automatic,130000,Riyadh,75000
Camry,2017,Saudi,Silver,Semi Full,2.5,Gas,Automatic,78000,Riyadh,60000
Taurus,2016,Saudi,Another Color,Standard,3.5,Gas,Automatic,152000,Riyadh,60000
Land Cruiser Pickup,2009,Saudi,Another Color,Standard,4.5,Gas,Manual,468000,Riyadh,65000
LX,2012,Saudi,Another Color,Full,5.7,Gas,Automatic,346000,Riyadh,125000
Sonata,2020,Saudi,Another Color,Semi Full,2.5,Gas,Automatic,22000,Riyadh,85000
Cadenza,2020,Saudi,White,Standard,3.5,Gas,Automatic,96000,Riyadh,70000
Corolla,2010,Saudi,Oily,Standard,1.5,Gas,Manual,318800,Jeddah,18000
Accord,2019,Saudi,Red,Semi Full,1.5,Gas,Automatic,49000,Riyadh,95000
Tahoe,2015,Saudi,Brown,Standard,5.3,Gas,Automatic,253000,Riyadh,99000
Tahoe,2013,Saudi,Golden,Semi Full,5.3,Gas,Automatic,363000,Riyadh,63000
Tahoe,2016,Saudi,White,Standard,5.3,Gas,Automatic,194000,Riyadh,116000
CX5,2018,Saudi,Another Color,Full,2.5,Gas,Automatic,151000,Riyadh,85000
Carnival,2015,Saudi,Another Color,Standard,2.4,Gas,Automatic,132000,Riyadh,37000
Camry,2020,Saudi,Silver,Full,2.5,Gas,Automatic,22000,Riyadh,77000
Emgrand,2020,Saudi,Navy,Semi Full,1.8,Gas,Automatic,15000,Riyadh,60000
Azera,2018,Saudi,Another Color,Full,3.5,Gas,Automatic,127000,Riyadh,82000
Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,39750,Riyadh,40000
Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,33613,Riyadh,40000
Accent,2019,Saudi,Silver,Standard,1.4,Gas,Automatic,48511,Riyadh,40000
FJ,2016,Saudi,White,Full,4.0,Gas,Automatic,184000,Riyadh,100000
Ciocca,2016,Saudi,Another Color,Standard,5.7,Gas,Automatic,348000,Riyadh,79000
Sonata,2017,Saudi,Silver,Standard,2.4,Gas,Automatic,166000,Riyadh,43000
Sonata,2017,Saudi,Silver,Standard,2.4,Gas,Automatic,127000,Riyadh,43000
Carenz,2008,Saudi,Another Color,Standard,2.0,Gas,Manual,350,Jeddah,12000
Camry,2007,Saudi,Golden,Standard,1.1,Gas,Manual,192000,Riyadh,20000
Hilux,2021,Saudi,White,Full,2.4,Diesel,Automatic,4000,Riyadh,158500
Tahoe,2008,Saudi,Black,Semi Full,5.7,Gas,Automatic,3300000,Riyadh,27000
Yukon,2011,Saudi,White,Full,5.3,Gas,Automatic,342000,Riyadh,55000
Tahoe,2008,Saudi,Black,Semi Full,5.7,Gas,Automatic,330000,Riyadh,27000
Tahoe,2008,Saudi,Black,Semi Full,5.7,Gas,Automatic,3300000,Riyadh,27000
Sonata,2018,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,79000,Tabouk,36000
ES,2015,Saudi,Black,Full,3.6,Gas,Automatic,232000,Yanbu,90000
Rio,2016,Saudi,Grey,Semi Full,1.4,Gas,Automatic,138000,Jeddah,30000
The 6,2014,Saudi,Grey,Full,3.0,Gas,Automatic,206000,Khobar,98000
Marquis,2011,Other,Bronze,Semi Full,8.0,Gas,Automatic,300000,Riyadh,22000
FJ,2016,Saudi,White,Semi Full,4.6,Gas,Automatic,272,Hail,85000
SL,2017,Saudi,Grey,Full,4.7,Gas,Automatic,29000,Dammam,280000
E,2016,Other,Silver,Full,2.0,Gas,Automatic,93000,Makkah,117000
Impala,2015,Saudi,Navy,Full,3.5,Gas,Automatic,200007,Jeddah,45000
Range Rover,2019,Saudi,Another Color,Full,3.5,Gas,Automatic,38000,Dammam,375000
Accent,2019,Saudi,Silver,Standard,1.4,Gas,Automatic,93239,Riyadh,40500
Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,33487,Riyadh,40500
Rio,2019,Saudi,Silver,Standard,1.4,Gas,Automatic,66148,Jeddah,40500
Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,49498,Riyadh,40500
Hilux,2013,Saudi,White,Full,2.7000000000000006,Gas,Manual,186,Al-Namas,70000
Malibu,2010,Saudi,Navy,Full,3.6,Gas,Automatic,26000,Riyadh,17000
Marquis,2011,Saudi,Golden,Full,4.0,Gas,Automatic,114000,Riyadh,48000
6,2019,Saudi,White,Semi Full,2.5,Gas,Automatic,92000,Qassim,70000
Corolla,2014,Saudi,White,Standard,2.0,Gas,Manual,276,Riyadh,23900
Pathfinder,2006,Saudi,Blue,Semi Full,4.0,Gas,Automatic,300000,Riyadh,13000
H2,2020,Saudi,Blue,Full,1.5,Gas,Automatic,15000,Qassim,49000
Focus,2014,Gulf Arabic,Blue,Standard,1.5,Gas,Automatic,98000,Khobar,23000
Patrol,2016,Saudi,White,Semi Full,5.6,Gas,Automatic,145000,Qassim,128000
Elantra,2020,Saudi,Silver,Semi Full,2.0,Gas,Automatic,47000,Riyadh,1221
Ciocca,2013,Saudi,White,Semi Full,5.7,Gas,Automatic,235000,Al-Ahsa,85000
Sunny,2000,Gulf Arabic,Oily,Standard,1.3,Gas,Manual,120000,Qassim,7000
Taurus,2019,Saudi,Silver,Standard,2.0,Gas,Automatic,34000,Qassim,85000
Sierra,2020,Saudi,Grey,Semi Full,5.3,Gas,Automatic,91000,Qassim,135000
Yukon,2005,Saudi,Grey,Full,6.0,Gas,Automatic,600000,Riyadh,15500
Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,55893,Riyadh,40500
Elantra,2018,Saudi,White,Standard,1.6,Gas,Automatic,120377,Riyadh,42000
Accent,2020,Saudi,Silver,Standard,1.4,Gas,Automatic,19717,Riyadh,41500
Talisman,2017,Saudi,Grey,Standard,2.0,Gas,Automatic,80151,Riyadh,41500
Hilux,2017,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,83000,Jubail,76000
Sonata,2018,Saudi,Bronze,Standard,2.4,Gas,Automatic,200000,Aseer,1342
Sportage,2014,Saudi,Grey,Full,2.4,Gas,Automatic,140000,Dammam,45000
Pajero,2016,Gulf Arabic,Grey,Full,3.8,Gas,Automatic,205000,Riyadh,60000
Elantra,2017,Gulf Arabic,Black,Semi Full,2.0,Gas,Automatic,51000,Jeddah,42000
Sonata,2018,Saudi,Brown,Standard,2.329999999999999,Gas,Automatic,152000,Al-Medina,1312
Victoria,2002,Saudi,Oily,Standard,4.6,Gas,Automatic,368000,Aseer,10000
Hilux,2014,Saudi,White,Standard,1.0,Gas,Manual,160,Jazan,50000
Innova,2014,Saudi,Blue,Standard,2.6,Gas,Automatic,123000,Dammam,33000
Suburban,2017,Other,Grey,Full,5.3,Gas,Automatic,153000,Riyadh,162000
Senta fe,2016,Saudi,White,Standard,2.5666666666666664,Gas,Automatic,199,Riyadh,1576
Mustang,2016,Other,Red,Semi Full,3.7,Gas,Automatic,79000,Riyadh,98000
FJ,2020,Gulf Arabic,White,Full,5.0,Gas,Automatic,22300,Riyadh,132000
Sonata,2016,Saudi,White,Standard,2.4,Gas,Automatic,10600,Makkah,33000
Pajero,2012,Saudi,White,Standard,3.8,Gas,Automatic,94484,Riyadh,41500
Pajero,2012,Saudi,White,Standard,3.8,Gas,Automatic,86487,Riyadh,41500
Pajero,2012,Saudi,White,Standard,3.8,Gas,Automatic,86213,Riyadh,41500
Pajero,2012,Saudi,White,Standard,3.8,Gas,Automatic,88799,Riyadh,41500
Pajero,2016,Saudi,White,Full,3.8,Gas,Automatic,146000,Jeddah,63000
5008,2012,Saudi,Red,Standard,1.6,Gas,Automatic,12000,Riyadh,27000
The 7,2004,Saudi,Black,Full,6.6,Gas,Automatic,70000,Riyadh,49000
Pajero,2012,Saudi,White,Standard,3.8,Gas,Automatic,85175,Riyadh,41500
Pajero,2012,Saudi,White,Standard,3.8,Gas,Automatic,91782,Riyadh,41500
Pajero,2012,Saudi,White,Standard,3.8,Gas,Automatic,104330,Riyadh,41500
Pajero,2012,Saudi,Silver,Standard,3.5,Gas,Automatic,65173,Riyadh,41500
Grand Cherokee,2013,Other,Another Color,Full,6.4,Gas,Automatic,118000,Riyadh,90000
Expedition,2010,Saudi,White,Semi Full,5.4,Gas,Automatic,2930000,Riyadh,30000
Land Cruiser Pickup,2015,Gulf Arabic,Another Color,Semi Full,4.0,Gas,Manual,232,Qassim,65000
Sierra,2021,Saudi,Black,Full,7.433333333333334,Gas,Automatic,2000,Khobar,190000
Sierra,2021,Saudi,Another Color,Full,8.0,Gas,Automatic,2800,Khobar,180000
Pathfinder,1998,Saudi,Golden,Standard,3.5,Gas,Automatic,3180003,Riyadh,10500
A,2020,Other,Black,Standard,2.0,Gas,Automatic,3710,Riyadh,173000
Pajero,2016,Saudi,Grey,Full,3.8,Gas,Automatic,91000,Jeddah,67000
A,2020,Other,White,Standard,2.0,Gas,Automatic,10100,Riyadh,182000
T77,2021,Saudi,Black,Full,1.2,Gas,Automatic,4000,Jeddah,73000
Pajero,2012,Saudi,Silver,Standard,3.5,Gas,Automatic,78276,Riyadh,41500
Pajero,2012,Saudi,Brown,Standard,3.5,Gas,Automatic,77556,Riyadh,41500
Sportage,2015,Saudi,Red,Standard,2.4,Gas,Automatic,103885,Riyadh,41500
Accent,2020,Saudi,White,Standard,1.4,Gas,Automatic,35547,Riyadh,41500
Optra,2007,Saudi,White,Standard,1.6,Gas,Automatic,2000000,Riyadh,5000
Pajero,2017,Saudi,White,Full,3.5,Gas,Automatic,65400,Riyadh,58000
Camry,2013,Other,Black,Standard,2.5,Gas,Automatic,214,Dammam,42000
Sonata,2019,Saudi,Silver,Full,2.4,Gas,Automatic,5400,Riyadh,78000
C,2017,Other,Grey,Full,2.0,Gas,Automatic,98000,Jeddah,148000
Cerato,2019,Saudi,White,Standard,1.5,Gas,Automatic,30766,Jeddah,42000
Optima,2015,Saudi,Another Color,Semi Full,2.4,Gas,Automatic,173000,Riyadh,36500
Malibu,2019,Saudi,Black,Standard,1.5,Gas,Automatic,127000,Riyadh,57000
Safrane,2012,Saudi,White,Full,2.6,Gas,Automatic,144000,Jeddah,20000
Camry,2017,Saudi,Black,Standard,2.485185185185185,Gas,Automatic,120,Tabouk,55000
Patrol,2021,Saudi,Black,Full,4.0,Gas,Automatic,4900,Riyadh,258000
QX,2014,Saudi,Brown,Full,3.7,Gas,Automatic,32000,Jeddah,65000
Land Cruiser,2013,Gulf Arabic,White,Full,4.6,Gas,Automatic,300000,Dammam,115000
Accent,2020,Saudi,Silver,Standard,1.4,Gas,Automatic,22550,Riyadh,41500
Navara,2016,Saudi,White,Standard,2.5,Gas,Manual,132714,Riyadh,41500
Tiggo,2021,Saudi,Grey,Standard,1.5,Gas,Automatic,4175,Riyadh,42500
S,2016,Saudi,White,Full,3.0,Gas,Automatic,67000,Riyadh,235000
Sportage,2016,Saudi,Grey,Semi Full,2.0,Gas,Automatic,163000,Riyadh,43000
Explorer,2010,Saudi,Black,Standard,6.0,Gas,Automatic,35000,Riyadh,160000
C,2017,Saudi,Blue,Full,2.5,Gas,Automatic,118000,Al-Medina,119000
Accent,2017,Saudi,White,Semi Full,1.4,Gas,Automatic,117000,Jeddah,23000
Optima,2017,Saudi,White,Standard,2.4,Gas,Automatic,263400,Riyadh,40000
Prado,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,89000,Dammam,151000
X,2007,Saudi,White,Full,4.8,Gas,Automatic,260000,Riyadh,28000
Tahoe,2016,Saudi,Another Color,Semi Full,5.3,Gas,Automatic,147000,Abha,120000
Cherokee,2016,Saudi,Black,Standard,2.4,Gas,Automatic,90000,Jeddah,41000
CX9,2015,Saudi,Brown,Semi Full,3.7,Gas,Automatic,221000,Jeddah,48000
Durango,2014,Saudi,White,Standard,3.6,Gas,Automatic,170000,Jeddah,44000
Camry,2016,Saudi,Another Color,Full,2.5,Gas,Automatic,222,Makkah,55000
Pathfinder,2014,Saudi,White,Standard,3.5,Gas,Automatic,187390,Riyadh,43500
Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,103966,Riyadh,43500
Accent,2020,Saudi,Grey,Standard,1.4,Gas,Automatic,25234,Riyadh,44000
Eado,2020,Saudi,Red,Semi Full,1.6,Gas,Automatic,94182,Riyadh,44000
Impala,2015,Saudi,Another Color,Semi Full,3.6,Gas,Automatic,145462,Riyadh,55000
MKS,2018,Gulf Arabic,White,Semi Full,2.0,Gas,Automatic,14000,Jeddah,115000
Wrangler,2018,Gulf Arabic,Grey,Semi Full,4.4,Gas,Automatic,43000,Jeddah,135000
Wrangler,2018,Gulf Arabic,Black,Semi Full,4.0,Gas,Automatic,32000,Jeddah,129000
E,2015,Saudi,White,Full,2.7,Gas,Automatic,23000,Jeddah,129000
LS,2019,Saudi,Brown,Full,4.6,Gas,Automatic,600,Jeddah,329000
CT5,2021,Gulf Arabic,Black,Semi Full,4.5,Gas,Automatic,100,Jeddah,179000
X,2011,Other,Black,Full,6.0,Gas,Automatic,160000,Riyadh,45000
Taurus,2011,Saudi,Black,Standard,1.6,Gas,Automatic,268000,Riyadh,28000
Expedition,2014,Saudi,Black,Semi Full,5.387499999999999,Gas,Automatic,263000,Riyadh,48000
Optima,2015,Saudi,Navy,Semi Full,2.4,Gas,Automatic,173544,Riyadh,37000
Rio,2016,Saudi,Silver,Standard,1.4,Gas,Automatic,188000,Dammam,21000
Accent,2018,Saudi,Silver,Standard,1.4,Gas,Automatic,76000,Riyadh,37500
Datsun,2016,Saudi,White,Standard,2.4,Gas,Manual,2389,Riyadh,62000
Kona,2020,Saudi,White,Semi Full,2.0,Gas,Automatic,21000,Riyadh,67000
CX5,2020,Saudi,White,Full,2.0,Gas,Automatic,26000,Jeddah,112000
Taurus,2014,Gulf Arabic,White,Standard,3.5,Gas,Automatic,155000,Qassim,57000
S,2021,Other,Black,Full,3.5,Gas,Automatic,476,Riyadh,696000
Corolla,2017,Saudi,Silver,Standard,1.6,Gas,Automatic,92412,Riyadh,44500
Corolla,2016,Saudi,White,Standard,1.6,Gas,Automatic,142478,Riyadh,44500
Cerato,2019,Saudi,Navy,Standard,1.6,Gas,Automatic,85758,Jeddah,45000
Cerato,2019,Saudi,White,Standard,1.6,Gas,Automatic,30799,Jeddah,45000
Panamera,2011,Saudi,Silver,Full,3.0,Gas,Automatic,141000,Dammam,85000
Optima,2015,Saudi,White,Semi Full,2.0,Gas,Automatic,82900,Dammam,46000
CS35,2021,Saudi,Blue,Full,1.6,Gas,Automatic,2400,Dammam,51000
Coolray,2020,Saudi,Red,Semi Full,1.5,Gas,Automatic,280,Dammam,62000
Expedition,2012,Saudi,White,Semi Full,2.1,Gas,Automatic,215000,Riyadh,25500
Suburban,2011,Saudi,Golden,Semi Full,4.0,Gas,Automatic,289,Makkah,36000
Impala,2019,Saudi,Bronze,Semi Full,3.5,Gas,Automatic,91000,Qassim,74000
X-Trail,2018,Saudi,Black,Full,2.5,Gas,Automatic,86500,Qassim,74000
Countryman,2019,Saudi,Black,Semi Full,2.0,Gas,Automatic,22000,Jeddah,125000
D-MAX,2016,Saudi,White,Standard,2.5,Diesel,Manual,275000,Riyadh,55500
Charger,2013,Saudi,Black,Semi Full,3.6,Gas,Automatic,205000,Riyadh,29000
Range Rover,2016,Saudi,Black,Full,4.483333333333333,Gas,Automatic,70000,Riyadh,288000
Tahoe,2010,Saudi,Black,Full,5.3,Gas,Automatic,250000,Jeddah,55000
Optima,2015,Gulf Arabic,White,Semi Full,2.4,Gas,Automatic,68245,Riyadh,45000
X-Trail,2017,Saudi,White,Standard,2.5,Gas,Automatic,331612,Riyadh,46000
Cerato,2019,Saudi,White,Standard,1.6,Gas,Automatic,43632,Jeddah,45500
Corolla,2016,Saudi,White,Standard,1.6,Gas,Automatic,76294,Riyadh,45500
Senta fe,2016,Saudi,Navy,Full,3.3,Gas,Automatic,73115,Jeddah,85000
G,2021,Gulf Arabic,Black,Full,5.0,Gas,Automatic,5000,Riyadh,1150000
Innova,2017,Saudi,Black,Full,2.7,Gas,Automatic,247000,Jeddah,55000
Camry,2014,Saudi,White,Standard,2.433333333333333,Gas,Automatic,220,Riyadh,46000
CX9,2015,Saudi,Blue,Full,2.7375000000000003,Gas,Automatic,115000,Jeddah,82000
A,2020,Saudi,Black,Standard,2.0,Gas,Automatic,10770,Jeddah,165000
Tahoe,2013,Saudi,Brown,Semi Full,5.1875,Gas,Automatic,250000,Riyadh,70000
Flex,2015,Saudi,Black,Full,1.0,Gas,Automatic,81000,Riyadh,66000
Azera,2018,Saudi,Grey,Full,3.5,Gas,Automatic,50000,Riyadh,85000
Altima,2017,Saudi,Silver,Standard,2.5,Gas,Automatic,122000,Riyadh,44000
Fluence,2016,Saudi,White,Standard,1.6,Gas,Automatic,105000,Riyadh,23000
6,2017,Saudi,Another Color,Semi Full,2.5,Gas,Automatic,106000,Jeddah,56000
Land Cruiser,2014,Saudi,White,Full,4.6,Gas,Automatic,156000,Qassim,143000
Patrol,2016,Saudi,White,Full,4.8,Gas,Automatic,5448,Riyadh,90000
Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,4700,Riyadh,88000
Pajero,2018,Saudi,White,Full,3.5,Gas,Automatic,74715,Riyadh,76000
Hilux,2016,Gulf Arabic,White,Standard,2.0,Gas,Manual,202332,Riyadh,57000
Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,33504,Riyadh,38000
Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,110761,Riyadh,32000
Sportage,2018,Gulf Arabic,Another Color,Semi Full,2.0,Gas,Automatic,46000,Hafar Al-Batin,58600
Sportage,2018,Gulf Arabic,Bronze,Semi Full,2.0,Gas,Automatic,46000,Hafar Al-Batin,58600
Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,76095,Riyadh,45500
Elantra,2019,Saudi,Navy,Standard,1.6,Gas,Automatic,56536,Riyadh,47000
Pajero,2014,Saudi,White,Full,3.8,Gas,Automatic,271943,Riyadh,46500
Yukon,2012,Saudi,Bronze,Semi Full,5.3,Gas,Automatic,410000,Hafar Al-Batin,56600
Partner,2015,Gulf Arabic,White,Semi Full,1.6,Gas,Manual,100000,Dammam,25000
Furniture,2018,Saudi,Silver,Full,1.0,Gas,Automatic,68000,Riyadh,125000
Genesis,2016,Saudi,White,Standard,3.8,Gas,Automatic,237000,Riyadh,77000
X,2020,Other,White,Full,4.0,Gas,Automatic,1000,Qassim,410000
Camry,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,85000,Riyadh,75000
Azera,2018,Saudi,Brown,Full,3.5,Gas,Automatic,44000,Riyadh,96000
S,2006,Saudi,Oily,Full,5.0,Gas,Automatic,220,Aseer,49000
Patrol,2020,Saudi,Silver,Full,4.0,Gas,Automatic,29000,Jeddah,238000
ES,2021,Saudi,Grey,Semi Full,3.5,Gas,Automatic,500,Jeddah,235000
LX,2020,Saudi,Black,Full,5.7,Gas,Automatic,35000,Jeddah,395000
Odyssey,2020,Saudi,Navy,Semi Full,3.5,Gas,Automatic,1300,Jeddah,165000
Furniture,2019,Saudi,White,Semi Full,4.0,Gas,Automatic,47000,Jeddah,120000
Furniture,2019,Saudi,Black,Semi Full,2.7,Gas,Automatic,20000,Jeddah,102000
6,2021,Saudi,Grey,Standard,2.5,Gas,Automatic,115,Jeddah,93000
Capture,2017,Saudi,Bronze,Semi Full,1.6,Gas,Automatic,56000,Jeddah,42000
Vego,2019,Saudi,White,Standard,1.5,Gas,Automatic,51419,Jeddah,27500
Vego,2019,Saudi,White,Standard,1.5,Gas,Automatic,47856,Jeddah,27500
Vego,2019,Saudi,Black,Standard,1.5,Gas,Automatic,26315,Jeddah,27499
301,2015,Saudi,Blue,Semi Full,1.6,Gas,Manual,278000,Jeddah,15000
Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,61374,Riyadh,46500
H1,2017,Saudi,White,Standard,2.4,Gas,Automatic,209677,Riyadh,47500
Sonata,2015,Saudi,Grey,Semi Full,2.4,Gas,Automatic,235575,Riyadh,47500
Corolla,2016,Saudi,White,Semi Full,1.6,Gas,Automatic,138661,Riyadh,47500
S,2018,Saudi,Another Color,Full,3.5,Gas,Automatic,53700,Qassim,320000
C,2015,Gulf Arabic,Black,Standard,2.4,Gas,Automatic,127000,Riyadh,102000
Taurus,2017,Gulf Arabic,Black,Full,3.5,Gas,Automatic,27000,Riyadh,83000
Yukon,2016,Gulf Arabic,Black,Semi Full,5.2,Gas,Automatic,104000,Riyadh,124000
300,2016,Gulf Arabic,Another Color,Semi Full,3.6,Gas,Automatic,85000,Riyadh,78000
Accord,2016,Gulf Arabic,White,Standard,2.4,Gas,Automatic,90000,Riyadh,65000
Expedition,2016,Gulf Arabic,Another Color,Semi Full,3.5,Gas,Automatic,63000,Riyadh,95000
CLA,2015,Gulf Arabic,White,Full,2.0,Gas,Automatic,123000,Riyadh,78000
Avalon,2016,Gulf Arabic,Silver,Semi Full,3.5,Gas,Automatic,93000,Riyadh,75000
E,2016,Gulf Arabic,White,Full,3.0,Gas,Automatic,117000,Riyadh,110000
300,2016,Gulf Arabic,Black,Full,3.5,Gas,Automatic,18000,Riyadh,86000
A6,2021,Other,White,Full,2.0,Gas,Automatic,1800,Dammam,245000
Suburban,2016,Gulf Arabic,Golden,Standard,5.2,Gas,Automatic,96000,Riyadh,126000
Camry,2016,Gulf Arabic,White,Full,2.4,Gas,Automatic,75000,Riyadh,68000
Sonata,2015,Gulf Arabic,Red,Standard,2.4,Gas,Automatic,80000,Riyadh,45000
Impala,2018,Gulf Arabic,Navy,Full,3.5,Gas,Automatic,113000,Riyadh,78000
Tahoe,2016,Gulf Arabic,Silver,Semi Full,5.2,Gas,Automatic,93000,Riyadh,130000
ES,2018,Gulf Arabic,Bronze,Standard,3.5,Gas,Automatic,65000,Riyadh,122000
Altima,2018,Gulf Arabic,Silver,Semi Full,2.5,Gas,Automatic,32000,Riyadh,66000
Odyssey,2016,Gulf Arabic,White,Standard,2.4,Gas,Automatic,87000,Riyadh,65000
Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,78781,Riyadh,47500
Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,106787,Riyadh,48500
Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,116842,Riyadh,48500
Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,107133,Riyadh,48500
Impala,2016,Gulf Arabic,White,Full,3.5,Gas,Automatic,152000,Riyadh,70000
Pilot,2015,Gulf Arabic,Silver,Full,3.5,Gas,Automatic,98000,Riyadh,75000
Impala,2016,Gulf Arabic,White,Full,3.5,Gas,Automatic,117000,Riyadh,72000
Previa,2017,Gulf Arabic,White,Semi Full,3.0,Gas,Automatic,101000,Riyadh,65000
Explorer,2016,Gulf Arabic,Brown,Standard,3.8,Gas,Automatic,83000,Riyadh,85000
Tahoe,2020,Gulf Arabic,Red,Standard,5.3,Gas,Automatic,37000,Riyadh,165000
H1,2018,Saudi,Blue,Semi Full,2.4,Gas,Automatic,49000,Aseer,70000
Tahoe,2016,Gulf Arabic,Black,Semi Full,5.3,Gas,Automatic,109000,Riyadh,130000
Suburban,2016,Gulf Arabic,Another Color,Standard,5.3,Gas,Automatic,98000,Riyadh,140000
Hilux,2016,Saudi,White,Semi Full,2.5333333333333337,Gas,Automatic,162500,Hail,84000
Flex,2012,Saudi,Silver,Semi Full,4.75,Gas,Automatic,282000,Khobar,25000
X-Terra,2014,Saudi,Black,Full,4.0,Gas,Automatic,133000,Jeddah,80000
Cressida,1996,Saudi,White,Semi Full,1.5,Gas,Manual,600,Yanbu,10000
Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,91959,Riyadh,48500
Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,103358,Riyadh,48500
Optima,2018,Saudi,Red,Standard,2.0,Gas,Automatic,101381,Riyadh,48500
Sonata,2017,Saudi,White,Standard,2.4,Gas,Automatic,165163,Riyadh,49000
Sonata,2016,Saudi,Brown,Semi Full,2.4,Gas,Automatic,235000,Riyadh,46000
Duster,2016,Saudi,Black,Standard,2.0,Gas,Automatic,55000,Riyadh,26000
Expedition,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,123000,Riyadh,85000
C,2019,Other,White,Semi Full,2.0,Gas,Automatic,35000,Dammam,145000
Tucson,2017,Saudi,Blue,Standard,1.6,Gas,Automatic,17005,Jeddah,70000
Impala,2016,Gulf Arabic,Black,Standard,3.0,Diesel,Manual,88000,Qassim,61000
S,2019,Saudi,Black,Full,4.0,Gas,Automatic,30000,Makkah,320000
Sportage,2021,Saudi,Grey,Standard,1.6,Gas,Automatic,4000,Dammam,75000
Other,1982,Other,Bronze,Full,5.0,Gas,Automatic,34000,Dammam,180000
RX5,2019,Gulf Arabic,Blue,Full,2.1999999999999997,Gas,Automatic,42000,Taef,1310
RX,2017,Other,White,Full,3.5,Gas,Automatic,94051,Riyadh,173000
ES,2017,Other,Golden,Full,3.5,Gas,Automatic,34593,Riyadh,148000
Corolla,2018,Saudi,Brown,Standard,1.6,Gas,Automatic,55398,Riyadh,49000
Altima,2016,Saudi,White,Standard,2.5,Gas,Automatic,112915,Riyadh,49000
Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,35093,Riyadh,50000
Elantra,2017,Saudi,Grey,Full,1.6,Gas,Automatic,132310,Riyadh,49500
Explorer,2016,Other,Black,Standard,2.5,Gas,Automatic,83000,Riyadh,86000
C,2018,Other,Grey,Full,2.0,Gas,Automatic,82215,Riyadh,138000
Mustang,2019,Other,White,Full,2.3,Gas,Automatic,52538,Riyadh,138000
Tahoe,2016,Other,Golden,Full,5.3,Gas,Automatic,128000,Riyadh,164000
Elantra,2011,Saudi,White,Standard,1.5,Gas,Manual,300000,Najran,13000
Patrol,2015,Saudi,Grey,Full,3.2,Gas,Automatic,125000,Riyadh,130000
Taurus,2011,Saudi,Red,Semi Full,3.5,Gas,Automatic,281000,Khobar,29500
Suburban,2011,Saudi,Golden,Semi Full,4.0,Gas,Automatic,270,Makkah,37000
