,Type,Year,Color,Engine_Size,Mileage,Region,Price,Gear_Type_Encoded,Options_Full,Options_Semi Full,Options_Standard,Origin_Gulf Arabic,Origin_Other,Origin_Saudi,Fuel_Type_Diesel,Fuel_Type_Gas,Fuel_Type_Hybrid
32,0.07122507122507123,0.20129999999999998,0.0,0.54,0.0348,0.0,0.0005,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
33,0.05413105413105413,0.2008,0.5,0.53,0.0286,0.0,0.00048000000000000007,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
34,0.019943019943019943,0.202,0.07142857142857142,0.25,0.0046,0.0,0.00075,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35,0.07407407407407407,0.2015,0.2857142857142857,0.35,0.0085,0.0,0.0008,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
36,0.07692307692307693,0.2017,0.42857142857142855,0.35,0.0115,0.0,0.0005499999999999999,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
37,0.07977207977207977,0.2016,0.2857142857142857,0.2,0.0157,0.0,0.0005,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
38,0.07977207977207977,0.20190000000000002,0.07142857142857142,0.2,0.0024,0.0,0.00068,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
39,0.08262108262108261,0.2015,0.42857142857142855,0.35,0.0181,0.0,0.0007000000000000001,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40,0.08547008547008547,0.20190000000000002,0.2857142857142857,0.38,0.0084,0.0,0.0012000000000000001,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
41,0.039886039886039885,0.2016,0.2857142857142857,0.4,0.0201,0.0,0.00108,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
42,0.05413105413105413,0.2009,0.5,0.53,0.0395,0.0,0.00043,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
43,0.06552706552706553,0.2016,0.2857142857142857,0.25,0.0363,0.0,0.00058,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
44,0.03133903133903134,0.202,0.42857142857142855,0.13999999999999999,0.0002,0.0,0.00042000000000000007,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
45,0.07407407407407407,0.20129999999999998,0.0,0.35,0.0349,0.0,0.0007000000000000001,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
46,0.08831908831908832,0.20190000000000002,0.14285714285714285,0.24,0.0078,0.0,0.00062,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
47,0.08547008547008547,0.20179999999999998,0.42857142857142855,0.38,0.0075,0.0,0.0010999999999999998,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
48,0.008547008547008548,0.2016,0.42857142857142855,0.35,0.035,0.0,0.0005,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
49,0.08547008547008547,0.20179999999999998,0.42857142857142855,0.38,0.0127,0.0,0.0009299999999999999,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50,0.09116809116809117,0.2015,0.2857142857142857,0.5700000000000001,0.0247,0.0,0.00165,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
51,0.022792022792022793,0.2012,0.2857142857142857,0.5599999999999999,0.0381,0.0,0.00075,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
52,0.05413105413105413,0.2008,0.42857142857142855,0.53,0.0382,0.0,0.00045,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
53,0.09401709401709402,0.2015,0.2857142857142857,0.45999999999999996,0.014599999999999998,0.0,0.00126,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
54,0.002849002849002849,0.20190000000000002,0.07142857142857142,0.15,0.0087537,0.0,0.000268,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
55,0.002849002849002849,0.20190000000000002,0.2857142857142857,0.15,0.0099104,0.0,0.000268,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
56,0.002849002849002849,0.20190000000000002,0.14285714285714285,0.15,0.010600699999999998,0.0,0.000268,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
57,0.002849002849002849,0.20190000000000002,0.07142857142857142,0.15,0.0088564,0.0,0.000268,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
58,0.09686609686609686,0.2016,0.14285714285714285,0.35,0.0166,0.0,0.00047000000000000004,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
59,0.008547008547008548,0.2015,0.5,0.24,0.0196,0.0,0.00059,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
60,0.08547008547008547,0.20179999999999998,0.07142857142857142,0.38,0.007000000000000001,0.0,0.0010999999999999998,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
61,0.02564102564102564,0.20139999999999997,0.5714285714285714,0.53,0.0382,0.0,0.0006000000000000001,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
62,0.09971509971509972,0.20099999999999998,0.42857142857142855,0.36,0.024,0.0,0.00032,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
63,0.039886039886039885,0.20129999999999998,0.42857142857142855,0.38,0.0108,0.0,0.0008699999999999999,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
64,0.10256410256410256,0.20139999999999997,0.5,0.15,0.01613,0.0,0.00012000000000000002,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
65,0.10541310541310542,0.20190000000000002,0.0,0.15,0.0023,0.0,0.00047000000000000004,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
67,0.10826210826210826,0.20190000000000002,0.6428571428571429,0.2,0.0019,0.0,0.00059,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
68,0.1111111111111111,0.20139999999999997,0.0,0.5700000000000001,0.012,0.0,0.0008500000000000001,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
69,0.05413105413105413,0.2016,0.2857142857142857,0.5383333333333333,0.0063,0.0,0.0014000000000000002,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
70,0.008547008547008548,0.2015,0.14285714285714285,0.24,0.0221,0.0,0.00048000000000000007,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
71,0.11396011396011396,0.20059999999999997,0.2857142857142857,0.43,0.0235115,0.0,0.00015000000000000001,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
72,0.1168091168091168,0.20070000000000002,0.0,0.45,0.0303,0.0,0.0001,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
73,0.11965811965811966,0.20179999999999998,0.42857142857142855,0.5700000000000001,0.0085,0.2692307692307692,0.0013000000000000002,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
75,0.1225071225071225,0.20179999999999998,0.2857142857142857,0.2,0.0082,0.0,0.0007700000000000001,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
76,0.02849002849002849,0.20139999999999997,0.2857142857142857,0.2,0.0049,0.07692307692307693,0.00075,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
77,0.002849002849002849,0.20190000000000002,0.07142857142857142,0.15,0.0105739,0.0,0.000268,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
78,0.002849002849002849,0.20190000000000002,0.2857142857142857,0.15,0.0055526,0.0,0.00027499999999999996,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
79,0.002849002849002849,0.20190000000000002,0.07142857142857142,0.15,0.0098659,0.0,0.00027499999999999996,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
80,0.002849002849002849,0.20190000000000002,0.07142857142857142,0.15,0.0095623,0.0,0.00027499999999999996,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
81,0.005698005698005698,0.20190000000000002,0.14285714285714285,0.16,0.0086,0.07692307692307693,0.00054,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
82,0.017094017094017096,0.20179999999999998,0.2857142857142857,0.15,0.0128,0.038461538461538464,0.00032,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
83,0.022792022792022793,0.1992,0.2857142857142857,0.45999999999999996,0.0357,0.07692307692307693,0.00027,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
86,0.03133903133903134,0.20190000000000002,0.2857142857142857,0.13999999999999999,0.0101,0.038461538461538464,0.00037,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
87,0.06837606837606838,0.2017,0.14285714285714285,0.25,0.0093,0.07692307692307693,0.00111,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
88,0.1282051282051282,0.2015,0.7142857142857143,0.38,0.0194,0.0,0.0008500000000000001,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
89,0.03418803418803419,0.2015,0.07142857142857142,0.16,0.0176277,0.07692307692307693,0.00037,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
90,0.13105413105413105,0.2015,0.42857142857142855,0.1,0.0133,0.11538461538461539,0.000185,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
91,0.1339031339031339,0.2021,0.2857142857142857,0.2,0.0004,0.11538461538461539,0.00095,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
92,0.13675213675213677,0.2015,0.2857142857142857,0.2411111111111111,0.0212,0.0,0.00042000000000000007,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
93,0.1396011396011396,0.20179999999999998,0.2857142857142857,0.25,0.007000000000000001,0.038461538461538464,0.00145,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
94,0.14245014245014245,0.2016,0.2857142857142857,0.27,0.0028,0.07692307692307693,0.00095,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
95,0.045584045584045586,0.20190000000000002,0.2857142857142857,0.27,0.011300000000000001,0.0,0.00105,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
96,0.07122507122507123,0.2016,0.2857142857142857,0.35,0.0104,0.07692307692307693,0.00095,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
97,0.008547008547008548,0.20190000000000002,0.07142857142857142,0.15,0.00082,0.07692307692307693,0.00107,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
98,0.1452991452991453,0.2001,0.14285714285714285,0.38,0.05,0.0,0.00015000000000000001,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
99,0.14814814814814814,0.2016,0.7142857142857143,0.35333333333333333,0.0093,0.0,0.00095,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
101,0.005698005698005698,0.20190000000000002,0.2857142857142857,0.16,0.012049600000000002,0.0,0.00040800000000000005,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
102,0.005698005698005698,0.20190000000000002,0.07142857142857142,0.16,0.012024399999999998,0.0,0.00043,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
103,0.03133903133903134,0.20139999999999997,0.0,0.13999999999999999,0.0101231,0.0,0.000215,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
104,0.002849002849002849,0.2017,0.2857142857142857,0.15,0.0106646,0.0,0.000225,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
105,0.05128205128205128,0.2009,0.0,0.24,0.0195,0.038461538461538464,0.00045,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
106,0.005698005698005698,0.20179999999999998,0.5714285714285714,0.16,0.0081,0.0,0.00043999999999999996,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
107,0.08831908831908832,0.20179999999999998,0.07142857142857142,0.24,0.0099,0.0,0.00062,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
108,0.11965811965811966,0.2016,0.14285714285714285,0.1,0.015099999999999999,0.0,0.0006900000000000001,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
109,0.07692307692307693,0.20179999999999998,0.5714285714285714,0.1,0.0074,0.0,0.0006000000000000001,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
110,0.045584045584045586,0.20190000000000002,0.2857142857142857,0.35,0.004,0.0,0.0012000000000000001,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
111,0.03133903133903134,0.20179999999999998,0.2857142857142857,0.13999999999999999,0.0078,0.0,0.00035999999999999997,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
112,0.08831908831908832,0.20129999999999998,0.2857142857142857,0.24,0.0205,0.0,0.0004,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
113,0.150997150997151,0.20129999999999998,0.35714285714285715,0.1,0.0296,0.0,0.0007900000000000001,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
114,0.07692307692307693,0.2017,0.14285714285714285,0.35,0.0179,0.0,0.00073,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
115,0.005698005698005698,0.20179999999999998,0.2857142857142857,0.2,0.0088,0.0,0.00043999999999999996,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
116,0.005698005698005698,0.20179999999999998,0.14285714285714285,0.16,0.0096,0.0,0.00047000000000000004,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
117,0.08547008547008547,0.20190000000000002,0.07142857142857142,0.38,0.0066,0.0,0.0012000000000000001,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
118,0.08831908831908832,0.20139999999999997,0.2857142857142857,0.24,0.0216,0.0,0.00041000000000000005,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
119,0.019943019943019943,0.2016,0.2857142857142857,0.1,0.0244,0.0,0.00059,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
120,0.1282051282051282,0.2016,0.2857142857142857,0.38,0.0055,0.0,0.00095,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
121,0.150997150997151,0.2015,0.2857142857142857,0.1,0.019,0.0,0.00098,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
122,0.15384615384615385,0.20179999999999998,0.2857142857142857,0.32999999999999996,0.0041542,0.0,0.0006900000000000001,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
123,0.15669515669515668,0.2017,0.0,0.24,0.0245,0.0,0.00045,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
124,0.1282051282051282,0.20179999999999998,0.14285714285714285,0.38,0.0078,0.0,0.0010999999999999998,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
125,0.07692307692307693,0.2015,0.14285714285714285,0.35,0.018,0.0,0.00057,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
126,0.15954415954415954,0.202,0.6428571428571429,0.2,0.00292,0.038461538461538464,0.0008,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
